gene,0,12,24,48,72,Cluster
A17R_Medtr7g113780_rep1,1.91,11.1,2.68,1.92,1.49,Mtr-Shoot-DTW012-DPGP002
A17R_Medtr4g011970_rep1,6.19,4.21,8.43,7.81,7.39,Mtr-Shoot-DTW026-DPGP001
A17R_Medtr3g097010_rep1,40.31,9.24,34.54,40.28,31.47,Mtr-Shoot-DTW028-DPGP001
A17R_Medtr0018s0310_rep1,0.3,0.93,2.19,1.63,0.67,Mtr-Shoot-DTW025-DPGP002
A17R_Medtr5g034750_rep1,5.34,7.3,5.86,3.36,3.96,Mtr-Shoot-DTW027-DPGP001
A17R_Medtr7g091390_rep1,3.58,4.6,3.08,3.5,3.4,Mtr-Shoot-DTW001-DPGP001
A17R_Medtr1g100800_rep1,18.18,36.61,19.66,16.89,18.64,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr5g006180_rep1,9.25,4.02,13.38,13.67,12.46,Mtr-Shoot-DTW003-DPGP001
A17R_Medtr2g019810_rep1,2.61,6.53,2.72,2.87,3.78,Mtr-Shoot-DTW041-DPGP001
A17R_Medtr7g034395_rep1,31.2,64.63,28.96,31.09,30.15,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr4g120050_rep1,4.45,6.69,3.49,2.49,4.81,Mtr-Shoot-DTW045-DPGP001
A17R_Medtr8g011470_rep1,4.91,10.53,4.07,5.56,7.38,Mtr-Shoot-DTW021-DPGP001
A17R_Medtr7g114520_rep1,7.73,4.56,6.07,11.34,11.04,Mtr-Shoot-DTW037-DPGP002
A17R_Medtr2g072790_rep1,12.7,45.94,14.72,18.1,26.21,Mtr-Shoot-DTW041-DPGP001
A17R_Medtr3g081130_rep1,33.79,113.7,32.5,31.94,78.27,Mtr-Shoot-DTW021-DPGP001
A17R_Medtr7g112880_rep1,32.95,39.41,39.23,54.48,56.19,Mtr-Shoot-DTW002-DPGP001
A17R_Medtr7g088210_rep1,41.36,27.43,46.43,42.15,37.44,Mtr-Shoot-DTW023-DPGP001
A17R_Medtr6g075440_rep1,2.59,5.42,3.26,2.83,2.41,Mtr-Shoot-DTW038-DPGP001
A17R_Medtr1g101540_rep1,15.86,9.04,18.96,17.82,12.43,Mtr-Shoot-DTW030-DPGP001
A17R_Medtr6g074855_rep1,1.44,0.33,0.73,1.07,0.66,Mtr-Shoot-DTW004-DPGP001
A17R_Medtr0172s0030_rep1,83.56,64.33,80.43,74.38,68.62,Mtr-Shoot-DTW030-DPGP001
A17R_Medtr5g034790_rep1,1.62,4.54,1.54,0.97,1.61,Mtr-Shoot-DTW012-DPGP002
A17R_Medtr1g025610_rep1,12.49,13.27,14.96,15.36,16.68,Mtr-Shoot-DTW009-DPGP001
A17R_Medtr4g007190_rep1,34.58,74.24,37.73,39.77,40.71,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr4g083630_rep1,3.62,8.16,4.04,3.6,4.7,Mtr-Shoot-DTW041-DPGP001
A17R_Medtr1g085680_rep1,4.7,24.08,7.28,26.59,35.72,Mtr-Shoot-DTW036-DPGP001
A17R_Medtr3g111990_rep1,1.69,3.73,1.81,1.11,1.64,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr8g028545_rep1,47.71,15.5,45.25,45.89,46.4,Mtr-Shoot-DTW017-DPGP001
A17R_Medtr4g089030_rep1,68.57,24.37,58.78,83.93,72.36,Mtr-Shoot-DTW017-DPGP001
A17R_Medtr3g082690_rep1,10.72,29.57,13.71,11.43,12.06,Mtr-Shoot-DTW012-DPGP002
A17R_Medtr5g034320_rep1,47.21,69.27,45.36,34.99,33.83,Mtr-Shoot-DTW008-DPGP001
A17R_Medtr5g094210_rep1,117.85,55.1,55.56,69.3,74.99,Mtr-Shoot-DTW019-DPGP001
A17R_Medtr7g011010_rep1,4.9,0.89,9.58,13.08,6.56,Mtr-Shoot-DTW026-DPGP001
A17R_Medtr2g079710_rep1,357.89,272.09,401.9,317.75,275.52,Mtr-Shoot-DTW018-DPGP001
A17R_Medtr1g079760_rep1,55.23,13.59,44.7,30.77,19.55,Mtr-Shoot-DTW004-DPGP001
A17R_Medtr8g107370_rep1,45.82,25.3,39.49,38.62,45.46,Mtr-Shoot-DTW017-DPGP001
A17R_Medtr1g090693_rep1,4.85,18.01,5.75,5.47,5.32,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr7g024860_rep1,0.04,0.14,0.01,3.71,5.51,Mtr-Shoot-DTW009-DPGP001
A17R_Medtr1g030820_rep1,7.53,1.12,4.03,7,14.82,Mtr-Shoot-DTW033-DPGP001
A17R_Medtr5g018250_rep1,0,0,0,0,2,Mtr-Shoot-DTW014-DPGP001
A17R_Medtr4g089155_rep1,0.85,0.92,1.33,2.38,0.59,Mtr-Shoot-DTW042-DPGP003
A17R_Medtr2g010120_rep1,8.91,11.66,6.15,8.71,3.91,Mtr-Shoot-DTW032-DPGP002
A17R_Medtr5g064580_rep1,434.64,280.37,353.88,369.88,360.77,Mtr-Shoot-DTW011-DPGP001
A17R_Medtr6g012730_rep1,1.49,1.28,1.46,2.46,4.69,Mtr-Shoot-DTW014-DPGP001
A17R_Medtr5g010140_rep1,12.87,9.39,12.74,16.98,15.11,Mtr-Shoot-DTW040-DPGP001
A17R_Medtr1g063070_rep1,40.94,28.52,48.01,34.83,20.12,Mtr-Shoot-DTW032-DPGP002
A17R_Medtr5g018300_rep1,633.67,295.27,606.42,986.08,933.95,Mtr-Shoot-DTW037-DPGP002
A17R_Medtr4g094010_rep1,0.96,0.41,1.29,1.61,1.77,Mtr-Shoot-DTW039-DPGP001
A17R_Medtr6g016245_rep1,1.05,3.37,1.53,1.56,1.95,Mtr-Shoot-DTW041-DPGP001
A17R_Medtr8g081060_rep1,2.24,1.57,1.83,0.9,1.86,Mtr-Shoot-DTW017-DPGP003
A17R_Medtr7g114200_rep1,9.58,4.44,10.89,9.14,6.91,Mtr-Shoot-DTW030-DPGP001
A17R_Medtr3g061630_rep1,187.04,76.83,179.45,193.72,236.26,Mtr-Shoot-DTW017-DPGP001
A17R_Medtr1g031450_rep1,2.98,6.3,5.46,7.19,7.38,Mtr-Shoot-DTW015-DPGP001
A17R_Medtr2g090270_rep1,3.74,8.72,2.01,2.78,4.95,Mtr-Shoot-DTW001-DPGP001
A17R_Medtr2g105080_rep1,4.49,20.02,3.31,3.01,3.24,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr8g087470_rep1,1.76,2.28,2.15,5.11,8.74,Mtr-Shoot-DTW009-DPGP001
A17R_Medtr5g027030_rep1,5.76,2.91,5.2,5.17,5.39,Mtr-Shoot-DTW028-DPGP001
A17R_Medtr0027s0090_rep1,2.49,9.37,3.19,3.89,3.9,Mtr-Shoot-DTW041-DPGP001
A17R_Medtr2g438150_rep1,46.58,37.03,50.71,50.33,55.46,Mtr-Shoot-DTW039-DPGP001
A17R_Medtr8g101470_rep1,9.61,33.14,12.15,12.52,15.07,Mtr-Shoot-DTW041-DPGP001
A17R_Medtr4g065007_rep1,177.18,87.48,155.44,123.91,100.38,Mtr-Shoot-DTW004-DPGP001
A17R_Medtr1g008500_rep1,82.24,157.35,105.14,135.34,200.82,Mtr-Shoot-DTW036-DPGP001
A17R_Medtr7g067450_rep1,33.72,52.25,23.95,21.87,27.47,Mtr-Shoot-DTW042-DPGP001
A17R_Medtr4g130250_rep1,9.48,3.32,8.3,6.36,3.45,Mtr-Shoot-DTW031-DPGP001
A17R_Medtr2g036650_rep1,0.28,0.09,0.04,0.41,1.85,Mtr-Shoot-DTW014-DPGP001
A17R_Medtr1g085550_rep1,22.41,12.84,22.59,24.13,23.17,Mtr-Shoot-DTW017-DPGP001
A17R_Medtr2g088590_rep1,1.36,0.23,1.66,1.41,1.33,Mtr-Shoot-DTW003-DPGP001
A17R_Medtr2g088940_rep1,0.9,0.54,0.81,1.45,1.07,Mtr-Shoot-DTW040-DPGP001
A17R_Medtr4g005270_rep1,0.14,0.37,0.01,0.11,0.11,Mtr-Shoot-DTW001-DPGP001
A17R_Medtr8g030600_rep1,3.51,24.27,5.41,4.45,5.23,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr8g075310_rep1,1.88,4.88,2.11,1.89,1.99,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr2g093130_rep1,7.26,2.04,6.36,4.79,5.41,Mtr-Shoot-DTW028-DPGP001
A17R_Medtr4g118470_rep1,0.08,0.23,0.49,1,1.04,Mtr-Shoot-DTW029-DPGP001
A17R_Medtr3g067565_rep1,0.59,1.7,0.08,0.27,0.24,Mtr-Shoot-DTW042-DPGP001
A17R_Medtr7g022310_rep1,19.2,16.32,21.07,48.3,36.09,Mtr-Shoot-DTW022-DPGP001
A17R_Medtr7g076250_rep1,5.06,8.93,6.08,6,5.94,Mtr-Shoot-DTW038-DPGP001
A17R_Medtr3g117840_rep1,0.93,0.38,0.41,0.16,0.25,Mtr-Shoot-DTW019-DPGP001
A17R_Medtr3g452760_rep1,1.46,11.01,3.97,4.02,3.46,Mtr-Shoot-DTW038-DPGP001
A17R_Medtr3g113030_rep1,53.36,23.95,36.56,30.9,28.29,Mtr-Shoot-DTW004-DPGP001
A17R_Medtr3g065140_rep1,4.27,3.38,3.89,8.21,8.87,Mtr-Shoot-DTW002-DPGP001
A17R_Medtr4g017820_rep1,8.63,4.66,10.14,12.37,10.79,Mtr-Shoot-DTW039-DPGP001
A17R_Medtr1g090913_rep1,7.87,21.65,7.98,9.33,9.44,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr7g007120_rep1,6877.19,3768.34,5291.68,5276.94,3435.31,Mtr-Shoot-DTW031-DPGP002
A17R_Medtr7g113030_rep1,5.47,8.09,6.35,10.09,11.88,Mtr-Shoot-DTW036-DPGP001
A17R_Medtr8g038210_rep1,1.53,0.47,1.65,2.3,3.58,Mtr-Shoot-DTW007-DPGP001
A17R_Medtr7g090140_rep1,0.28,0.24,4.09,2.02,6.31,Mtr-Shoot-DTW024-DPGP002
A17R_Medtr6g007897_rep1,26.44,24.59,26.07,22.9,25.52,Mtr-Shoot-DTW017-DPGP003
A17R_Medtr3g107720_rep1,0,0,0.04,0,0.1,Mtr-Shoot-DTW024-DPGP002
A17R_Medtr8g071330_rep1,1.06,1.53,0.79,0.51,0.64,Mtr-Shoot-DTW006-DPGP001
A17R_Medtr7g094520_rep1,6.46,22.16,5.11,11.76,14.35,Mtr-Shoot-DTW021-DPGP001
A17R_Medtr6g065670_rep1,49.74,46.32,52.13,64.37,68.36,Mtr-Shoot-DTW002-DPGP001
A17R_Medtr2g026590_rep1,2.42,6.18,2.86,2,2.65,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr7g095250_rep1,0,0,0,0.35,0.46,Mtr-Shoot-DTW002-DPGP001
A17R_Medtr5g034910_rep1,1.71,4.39,1.68,2.45,3.39,Mtr-Shoot-DTW021-DPGP001
A17R_Medtr4g079960_rep1,5.19,3.54,4.96,7.7,9.33,Mtr-Shoot-DTW037-DPGP002
A17R_Medtr3g013460_rep1,212.16,128.22,199.91,173.47,164.22,Mtr-Shoot-DTW004-DPGP001
A17R_Medtr7g012790_rep1,13.03,12.07,14.82,18.74,10.02,Mtr-Shoot-DTW027-DPGP002
A17R_Medtr3g465510_rep1,6.91,4.46,7.17,5.59,7.18,Mtr-Shoot-DTW035-DPGP001
A17R_Medtr3g090900_rep1,100.6,14.94,87.16,79.37,81.28,Mtr-Shoot-DTW028-DPGP001
A17R_Medtr1g016010_rep1,26.71,45.2,29.37,27.49,27.99,Mtr-Shoot-DTW012-DPGP002
A17R_Medtr8g465470_rep1,2.96,1.1,3.52,6.53,3.94,Mtr-Shoot-DTW040-DPGP001
A17R_Medtr2g025140_rep1,3.21,16.8,5.21,6.51,7.7,Mtr-Shoot-DTW041-DPGP001
A17R_Medtr3g005560_rep1,17.06,48.59,22.21,18.41,42.3,Mtr-Shoot-DTW021-DPGP001
A17R_Medtr8g466240_rep1,1.95,7.24,2.93,5.32,5.26,Mtr-Shoot-DTW020-DPGP001
A17R_Medtr1g009860_rep1,91.19,44.46,86.48,90.95,82.76,Mtr-Shoot-DTW028-DPGP001
A17R_Medtr3g067540_rep1,14.94,54.54,7.76,1.78,5.75,Mtr-Shoot-DTW042-DPGP001
A17R_Medtr3g086340_rep1,13.96,32.8,13.9,11.7,12.76,Mtr-Shoot-DTW012-DPGP002
A17R_Medtr2g041310_rep1,20.44,10.85,22.75,23.47,24.74,Mtr-Shoot-DTW039-DPGP001
A17R_Medtr1g099400_rep1,0.33,0.11,0.16,0.1,0.76,Mtr-Shoot-DTW014-DPGP001
A17R_Medtr4g071880_rep1,87.45,43.57,85.79,78.07,51.47,Mtr-Shoot-DTW030-DPGP001
A17R_Medtr4g072190_rep1,41.43,7.66,35.11,16.15,10.04,Mtr-Shoot-DTW018-DPGP001
A17R_Medtr2g035250_rep1,0.58,3.98,1.57,1.21,1.56,Mtr-Shoot-DTW038-DPGP001
A17R_Medtr2g099810_rep1,6.38,4.86,5.44,6.78,9.72,Mtr-Shoot-DTW014-DPGP001
A17R_Medtr4g081420_rep1,6.52,22.64,7.34,4.88,8.44,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr1g046500_rep1,0.91,0.41,1.27,0.74,0.29,Mtr-Shoot-DTW018-DPGP001
A17R_Medtr7g098750_rep1,0.46,0.38,0.82,0.22,1.19,Mtr-Shoot-DTW024-DPGP002
A17R_Medtr7g106450_rep1,0.79,0.69,0.48,0.99,1.53,Mtr-Shoot-DTW007-DPGP001
A17R_Medtr4g051097_rep1,6.34,4.96,6.03,2.46,2.24,Mtr-Shoot-DTW044-DPGP002
A17R_Medtr7g093490_rep1,8.62,86.87,7.82,2.32,4.4,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr3g097450_rep1,3.01,1.82,2.25,3.4,4.3,Mtr-Shoot-DTW037-DPGP002
A17R_Medtr1g116590_rep1,174.7,63.78,117.73,110.25,127.24,Mtr-Shoot-DTW011-DPGP001
A17R_Medtr5g014310_rep1,16.25,2.02,18.72,24.63,18.53,Mtr-Shoot-DTW003-DPGP001
A17R_Medtr1g083983_rep1,0.44,0.19,0.51,0.84,1.04,Mtr-Shoot-DTW037-DPGP002
A17R_Medtr5g031840_rep1,5.21,8,6.59,3.65,4.87,Mtr-Shoot-DTW027-DPGP001
A17R_Medtr8g005720_rep1,17.06,33.67,16.01,13.74,12.68,Mtr-Shoot-DTW042-DPGP001
A17R_Medtr5g007230_rep1,11.66,1.56,16.22,14.18,10.35,Mtr-Shoot-DTW003-DPGP001
A17R_Medtr2g033600_rep1,1.29,3.37,2.03,2.62,3.41,Mtr-Shoot-DTW015-DPGP001
A17R_Medtr8g009640_rep1,2.62,4.69,2.29,3.9,5.18,Mtr-Shoot-DTW036-DPGP001
A17R_Medtr2g437840_rep1,3.06,4,1.01,2.04,1.83,Mtr-Shoot-DTW043-DPGP001
A17R_Medtr8g023060_rep1,12.41,3.37,9.8,14.49,12.14,Mtr-Shoot-DTW017-DPGP001
A17R_Medtr4g084270_rep1,9.68,42.71,13.12,11.56,9.16,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr1g079525_rep1,12.39,31,16.94,16.18,17.44,Mtr-Shoot-DTW038-DPGP001
A17R_Medtr1g073180_rep1,3.35,1.95,4.18,4.17,7.39,Mtr-Shoot-DTW007-DPGP001
A17R_Medtr3g113890_rep1,0.69,6.11,5.14,12.37,6.42,Mtr-Shoot-DTW022-DPGP001
A17R_Medtr5g086610_rep1,16.03,23.63,14.25,12.51,13.56,Mtr-Shoot-DTW042-DPGP001
A17R_Medtr2g014040_rep1,0.11,0,0.23,0.19,1.12,Mtr-Shoot-DTW014-DPGP001
A17R_Medtr4g011600_rep1,2.8,16.78,3.01,4.04,5.52,Mtr-Shoot-DTW041-DPGP001
A17R_Medtr3g101480_rep1,2.19,5.27,2.28,2.01,3.05,Mtr-Shoot-DTW041-DPGP001
A17R_Medtr3g465110_rep1,0.12,0.34,0.13,0.09,0.06,Mtr-Shoot-DTW008-DPGP001
A17R_Medtr2g044570_rep1,1.38,0.62,1.21,1.12,1.14,Mtr-Shoot-DTW028-DPGP001
A17R_Medtr5g083730_rep1,2.74,7.22,2.63,3.29,3.33,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr7g047270_rep1,6.97,1.31,3.98,3.97,3.72,Mtr-Shoot-DTW004-DPGP001
A17R_Medtr4g094550_rep1,5.65,14.67,20.98,27.47,95.66,Mtr-Shoot-DTW014-DPGP001
A17R_Medtr2g084195_rep1,0.04,0.53,0,0.31,2.68,Mtr-Shoot-DTW014-DPGP001
A17R_Medtr8g094800_rep1,60.41,30.57,52.36,44.38,45.61,Mtr-Shoot-DTW004-DPGP001
A17R_Medtr6g465300_rep1,10.04,19.68,10.95,11.19,10.86,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr8g080080_rep1,12.81,25.48,16.15,12.96,14.2,Mtr-Shoot-DTW038-DPGP001
A17R_Medtr1g070440_rep1,40.02,96.05,41.12,37.34,41.02,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr6g033320_rep1,5167.37,675.15,4517.8,3624.43,3411.11,Mtr-Shoot-DTW028-DPGP001
A17R_Medtr3g113660_rep1,23.55,8.49,13.23,16.57,18.95,Mtr-Shoot-DTW011-DPGP001
A17R_Medtr4g117720_rep1,2.36,4.51,1.89,2.38,1.79,Mtr-Shoot-DTW042-DPGP001
A17R_Medtr3g011510_rep1,36.71,60.39,41.38,39.09,37.33,Mtr-Shoot-DTW038-DPGP001
A17R_Medtr1g067110_rep1,49.68,92.64,81.96,82.9,73.92,Mtr-Shoot-DTW005-DPGP001
A17R_Medtr2g103440_rep1,0.78,0.76,0.08,0.2,0.22,Mtr-Shoot-DTW043-DPGP001
A17R_Medtr6g080430_rep1,19.71,2.58,14.53,14.33,16.47,Mtr-Shoot-DTW028-DPGP001
A17R_Medtr4g081540_rep1,1.32,2.96,1.23,1.75,1.62,Mtr-Shoot-DTW041-DPGP001
A17R_Medtr4g131810_rep1,131.16,253.43,118.56,127.6,159.58,Mtr-Shoot-DTW041-DPGP001
A17R_Medtr8g090280_rep1,0,0.03,0,0.08,0.16,Mtr-Shoot-DTW009-DPGP001
A17R_Medtr8g091720_rep1,0.76,1.95,0.5,0.44,0.53,Mtr-Shoot-DTW042-DPGP001
A17R_Medtr1g098310_rep1,22.18,15.61,22.75,28.38,21.53,Mtr-Shoot-DTW040-DPGP001
A17R_Medtr8g028880_rep1,12.65,20.31,14.96,17.77,14.45,Mtr-Shoot-DTW038-DPGP001
A17R_Medtr7g105850_rep1,10.14,33.89,9.96,7.3,6.97,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr7g067300_rep1,1.67,1.77,0.66,1.24,1.06,Mtr-Shoot-DTW004-DPGP002
A17R_Medtr6g004670_rep1,0.75,0.52,0.35,0.79,1.35,Mtr-Shoot-DTW007-DPGP001
A17R_Medtr1g083290_rep1,0.62,0.66,0.88,1.67,5.52,Mtr-Shoot-DTW014-DPGP001
A17R_Medtr5g090780_rep1,80.67,47.51,77.64,70.73,53.64,Mtr-Shoot-DTW030-DPGP001
A17R_Medtr3g065020_rep1,0.39,0.22,0.63,0.92,1.46,Mtr-Shoot-DTW009-DPGP001
A17R_Medtr4g087110_rep1,6.04,9.23,7.28,10.68,14.56,Mtr-Shoot-DTW036-DPGP001
A17R_Medtr7g094240_rep1,10.2,9.29,10.51,10.57,14.94,Mtr-Shoot-DTW014-DPGP001
A17R_Medtr4g020640_rep1,0.17,0.45,0.3,0.42,0.45,Mtr-Shoot-DTW015-DPGP001
A17R_Medtr1g107175_rep1,13.27,8.44,12.04,11.22,12.81,Mtr-Shoot-DTW017-DPGP001
A17R_Medtr5g086540_rep1,1.95,0.87,1.55,2.19,2.11,Mtr-Shoot-DTW017-DPGP001
A17R_Medtr4g021690_rep1,2.89,9.11,3.91,2.9,2.83,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr7g070530_rep1,5.52,7.69,4.33,4.87,4.41,Mtr-Shoot-DTW042-DPGP001
A17R_Medtr7g108580_rep1,134.89,65.84,125.79,122.51,125.23,Mtr-Shoot-DTW028-DPGP001
A17R_Medtr8g085400_rep1,0.27,1.92,0.29,0.53,0.29,Mtr-Shoot-DTW012-DPGP002
A17R_Medtr4g098570_rep1,1.5,2.89,1.42,1.21,3.09,Mtr-Shoot-DTW024-DPGP001
A17R_Medtr5g012400_rep1,3.49,2.6,2.16,1.13,1.7,Mtr-Shoot-DTW034-DPGP001
A17R_Medtr3g070490_rep1,4.87,462.89,7.59,7.74,7.27,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr7g055730_rep1,2.55,4.48,2.82,1.76,1.33,Mtr-Shoot-DTW008-DPGP001
A17R_Medtr1g033340_rep1,4.03,10.74,6.22,4.27,6.86,Mtr-Shoot-DTW045-DPGP001
A17R_Medtr4g125080_rep1,8.01,4.77,6.67,6.5,6.05,Mtr-Shoot-DTW004-DPGP001
A17R_Medtr4g079160_rep1,0.31,0.32,0.37,0.75,0.74,Mtr-Shoot-DTW002-DPGP001
A17R_Medtr8g069835_rep1,4.1,49.44,6.5,3.46,2.93,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr3g073560_rep1,23.65,14.07,25.38,28.81,29.79,Mtr-Shoot-DTW039-DPGP001
A17R_Medtr5g082130_rep1,0.03,67.13,0.46,0.12,0.53,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr5g043580_rep1,74.86,172.56,85.82,96.75,84.17,Mtr-Shoot-DTW038-DPGP001
A17R_Medtr5g006940_rep1,2.22,0.64,1.44,2.44,4.33,Mtr-Shoot-DTW033-DPGP001
A17R_Medtr8g012370_rep1,0.39,0,0.88,1.55,2.12,Mtr-Shoot-DTW029-DPGP001
A17R_Medtr4g093940_rep1,0.44,0.52,1.67,2.29,6.25,Mtr-Shoot-DTW014-DPGP001
A17R_Medtr5g034980_rep1,3.08,9.19,5.63,6.96,8.9,Mtr-Shoot-DTW015-DPGP001
A17R_Medtr3g098910_rep1,79.54,3.31,72.12,64.84,55.94,Mtr-Shoot-DTW028-DPGP001
A17R_Medtr3g115970_rep1,24.94,54.13,21.57,16.33,16.15,Mtr-Shoot-DTW042-DPGP001
A17R_Medtr5g023030_rep1,0.23,0.34,0.6,1.17,0.78,Mtr-Shoot-DTW022-DPGP001
A17R_Medtr1g011800_rep1,102.41,257.12,63.54,92.48,75.99,Mtr-Shoot-DTW001-DPGP001
A17R_Medtr1g075095_rep1,0.32,0.38,0.08,1.17,0.37,Mtr-Shoot-DTW012-DPGP004
A17R_Medtr8g064560_rep1,46.12,46.62,37.01,30.75,31.93,Mtr-Shoot-DTW006-DPGP001
A17R_Medtr1g078210_rep1,12.29,11.64,13.52,15.51,16.37,Mtr-Shoot-DTW029-DPGP001
A17R_Medtr4g134250_rep1,4.28,8.1,5.06,4.15,4.08,Mtr-Shoot-DTW008-DPGP001
A17R_Medtr3g007490_rep1,0.52,0.99,0.54,0.28,0.32,Mtr-Shoot-DTW008-DPGP001
A17R_Medtr1g072690_rep1,11.06,46.97,15.09,16.01,14.19,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr6g026730_rep1,1.18,2.31,0.74,1.03,0.63,Mtr-Shoot-DTW042-DPGP001
A17R_Medtr4g126970_rep1,3.47,6.68,5.62,7.74,7.76,Mtr-Shoot-DTW015-DPGP001
A17R_Medtr7g065590_rep1,17.14,27.25,27.51,30.64,30.08,Mtr-Shoot-DTW015-DPGP001
A17R_Medtr3g083370_rep1,1008.37,315.25,702.67,1181.92,900.76,Mtr-Shoot-DTW040-DPGP001
A17R_Medtr8g012080_rep1,10.87,28.66,13.32,10.27,10.79,Mtr-Shoot-DTW012-DPGP002
A17R_Medtr3g101540_rep1,10.36,14.15,6.76,6.5,5.74,Mtr-Shoot-DTW043-DPGP001
A17R_Medtr3g072215_rep1,0.07,0.49,0,0.02,0,Mtr-Shoot-DTW012-DPGP002
A17R_Medtr4g049340_rep1,11.44,31.32,14.08,10.61,11.85,Mtr-Shoot-DTW012-DPGP002
A17R_Medtr1g068970_rep1,8.85,32.66,14.79,8.59,19.51,Mtr-Shoot-DTW045-DPGP001
A17R_Medtr2g093840_rep1,6.5,2.55,6.54,14.54,16.26,Mtr-Shoot-DTW037-DPGP002
A17R_Medtr1g050845_rep1,0.08,0.5,0.2,0.08,0.17,Mtr-Shoot-DTW038-DPGP001
A17R_Medtr2g084000_rep1,3.32,11.9,4.12,3.14,1.93,Mtr-Shoot-DTW012-DPGP002
A17R_Medtr2g026930_rep1,0.25,0.68,2.03,2.97,5.15,Mtr-Shoot-DTW009-DPGP001
A17R_Medtr7g057180_rep1,45.97,26.96,39.31,29.4,28.31,Mtr-Shoot-DTW031-DPGP001
A17R_Medtr4g019900_rep1,2.85,8.12,4.13,3.93,3.98,Mtr-Shoot-DTW038-DPGP001
A17R_Medtr3g076530_rep1,0.58,2.45,0.74,0.54,0.34,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr3g077280_rep1,8.13,1.31,8.88,13.77,10.92,Mtr-Shoot-DTW040-DPGP001
A17R_Medtr3g115500_rep1,17.87,50.31,19.6,20.26,23.3,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr4g010130_rep1,11.54,1.26,21.94,29.01,31.79,Mtr-Shoot-DTW039-DPGP001
A17R_Medtr4g009870_rep1,29.36,22.49,35.23,33.08,31.78,Mtr-Shoot-DTW026-DPGP001
A17R_Medtr5g094830_rep1,4.87,8.45,6.94,8.41,8.53,Mtr-Shoot-DTW015-DPGP001
A17R_Medtr4g071420_rep1,5.48,13.96,5.73,4.56,4.4,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr5g015210_rep1,6.47,14.68,9.39,7.09,8.73,Mtr-Shoot-DTW038-DPGP001
A17R_Medtr5g004770_rep1,58.94,29.94,58.96,64.68,61.82,Mtr-Shoot-DTW017-DPGP001
A17R_Medtr2g026060_rep1,22.24,53.5,23.34,23.57,28.67,Mtr-Shoot-DTW041-DPGP001
A17R_Medtr2g043050_rep1,10.65,117.73,37.88,83.08,131.86,Mtr-Shoot-DTW036-DPGP001
A17R_Medtr4g007600_rep1,25.93,59.69,20.86,8.49,10.72,Mtr-Shoot-DTW042-DPGP001
A17R_Medtr3g117120_rep1,10.94,26.87,11.45,10.63,16.19,Mtr-Shoot-DTW041-DPGP001
A17R_Medtr8g099425_rep1,12.18,25.83,16.91,20.2,18.3,Mtr-Shoot-DTW005-DPGP001
A17R_Medtr2g020060_rep1,16.32,45.59,20.72,19.43,21.5,Mtr-Shoot-DTW012-DPGP001
A17R_Medtr4g053250_rep1,0.82,0.27,0.44,0.74,1.19,Mtr-Shoot-DTW033-DPGP001
A17R_Medtr4g057890_rep1,0.06,0.22,0.78,1.04,1.93,Mtr-Shoot-DTW009-DPGP001
A17R_Medtr8g078200_rep1,21.99,22.01,10.84,11.63,17.72,Mtr-Shoot-DTW011-DPGP002
A17R_Medtr2g023500_rep1,129.94,123.74,133.11,183.33,203.5,Mtr-Shoot-DTW002-DPGP001
A17R_Medtr3g111820_rep1,1.29,0.87,1.82,4.38,2.46,Mtr-Shoot-DTW022-DPGP001
A17R_Medtr2g054380_rep1,0.37,0.15,0.25,1.06,1.4,Mtr-Shoot-DTW002-DPGP001
A17R_Medtr5g088490_rep1,1.67,3.77,2.3,1.62,2.19,Mtr-Shoot-DTW045-DPGP001
A17R_Medtr7g079310_rep1,5.24,3.9,5.55,3.23,3.06,Mtr-Shoot-DTW018-DPGP001
A17R_Medtr3g098740_rep1,4.98,3.24,4.34,2.86,2.72,Mtr-Shoot-DTW031-DPGP001
A17R_Medtr4g106970_rep1,24.37,50.38,23.3,16.28,18.09,Mtr-Shoot-DTW042-DPGP001
